Police_Station,Mandal_Name,Code,Address,Latitude,Longitude,Google_Maps_Link,QR_Code_Data
Upnagar Police Station,Sairaj Bahuuddeshiya Sanstha (UPN-002),UPN-002,Shriram nagar Holi Flower School Near Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Shahi Foundation (UPN-003),UPN-003,Tagore Nagar Utsav Chowk Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Eagle Sports & Social Club (UPN-004),UPN-004,Adhitya Huts Near Jain Bhavan Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Navnath Mitra Mandal (UPN-005),UPN-005,Sena Kaman Veer Savarkar Nagar Jail Road Nashik Road,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Shri Ichchapurti Ganesh Mitra Mandal (UPN-006),UPN-006,Near Patbandhare Vahat Mahabali Hanuman Mandir Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,"Balaji Social Foundation (20 kg silver hands, ears, feet) (UPN-007)",UPN-007,Regimental Point Bitco Point Near Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,"Shri Ganesh Mitra Mandal (21 kg of silver, single statue) (UPN-008)",UPN-008,Deolali Gaon (Paravari Ganesh) Nashik Road Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Jagruti Pratishthan Kala & Krida Sanskrutik Mitra Mandal (UPN-009),UPN-009,Royal Colony Khule Maidan Shri Shri Ravi Shankar Marg Nashik,19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Shri Mhasoba Maharaj Mitra Mandal (UPN-010),UPN-010,"Khole Mala, B Mhasoba Maharaj Bhik, Jai Bhavani Road Nashik Road Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
Upnagar Police Station,Radhekrishna Foundation (Mahila Mandal) (UPN-011),UPN-011,"In Bajaj Showroom Daroa, Nashik",19.9975,73.7898,"https://www.google.com/maps?q=19.9975,73.7898","https://www.google.com/maps?q=19.9975,73.7898"
